id,name,age,nationality
811121,"Amine Benhchem",50,"MAR"
811121,"Amine Benhchem",50,"MAR"
794090,"Rúben Amorim",40,"PRT"
789680,"Alexandre Santos",49,"PRT"
784839,"Pablo Franco",45,"ESP"
784839,"Pablo Franco",45,"ESP"
784839,"Pablo Franco",45,"ESP"
788824,"Fadlu Davids",44,"ZAF"
813800,"Abdelaziz Dnibi",,
813800,"Abdelaziz Dnibi",,
813800,"Abdelaziz Dnibi",,
790983,"Moïn Chaabani",44,"TUN"
813733,"Abderrahim Saïdi",42,"MAR"
785244,"Rui Almeida",,"PRT"
785244,"Rui Almeida",,"PRT"
784469,"Pepe Mel",,"ESP"
796396,"Redouane El Haimeur",52,"MAR"
791632,"Amir Abdou",53,"FRA"
791632,"Amir Abdou",53,"FRA"
814432,"Hicham Dmiai",54,"MAR"
806275,"Saïd Chiba",,
